Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Financing Type
73324,659 EAST 222 STREET,12/28/2022,01/05/2024,1007124.0,659,EAST 222 STREET,Bronx,10467.0,2048240025.0,2130470.0,BX-12,12,394.0,BX1201,40.886192,-73.863179,40.886381,-73.8629,01/05/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,1.0,2.0,,,,,,,3.0,,3,10,Privately Financed
74137,269 WALLABOUT STREET,11/02/2022,01/05/2024,997430.0,58,UNION AVENUE,Brooklyn,11206.0,3022490023.0,3428618.0,BK-01,33,507.0,BK0103,40.701383,-73.950266,40.701292,-73.949985,01/05/2024,New Construction,No,Non Prevailing Wage,,,,,77.0,,,27.0,24.0,15.0,11.0,,,,77.0,,77,77,Privately Financed
74817,2680 CRESTON AVENUE APARTMENTS,10/26/2023,01/09/2024,1010534.0,2680,CRESTON AVENUE,Bronx,10468.0,2033140011.0,2129661.0,BX-07,14,40304.0,BX0702,40.867249,-73.894962,40.867021,-73.894865,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,53.0,,,39.0,14.0,,,,,,53.0,,53,54,Privately Financed
73732,1554 AND 1556 NEW YORK AVE,01/31/2023,01/09/2024,1007557.0,1556,NEW YORK AVENUE,Brooklyn,11210.0,3050070068.0,3114056.0,BK-17,45,78602.0,BK1702,40.634951,-73.944972,40.634809,-73.945268,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,1.0,2.0,,,,,,,3.0,,3,9,Privately Financed
73732,1554 AND 1556 NEW YORK AVE,01/31/2023,01/09/2024,1007631.0,1554,NEW YORK AVENUE,Brooklyn,11210.0,3050070067.0,3429051.0,BK-17,45,78602.0,BK1702,40.634987,-73.944976,40.634864,-73.945275,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,1.0,2.0,,,,,,,3.0,,3,9,Privately Financed
74139,728 ST LAWRENCE AVENUE APARTMENTS,10/13/2022,01/09/2024,110901.0,728,ST LAWRENCE AVENUE,Bronx,10473.0,2035970025.0,2022128.0,BX-09,18,38.0,BX0902,40.82006,-73.86455,40.820397,-73.864351,01/09/2024,New Construction,No,Non Prevailing Wage,,,,,3.0,,,3.0,,,,,,,3.0,,3,8,Privately Financed
63774,ST. FRANCIS,06/24/2021,01/09/2024,997258.0,1544,SHAKESPEARE AVENUE,Bronx,10452.0,2028720148.0,2129668.0,BX-05,14,21301.0,BX0501,40.845717,-73.919234,40.845725,-73.918937,01/09/2024,New Construction,No,Non Prevailing Wage,42.0,24.0,49.0,,,1.0,28.0,47.0,35.0,6.0,,,,,116.0,,116,116,HPD Financed
75390,1598 EASTERN PARKWAY APARTMENTS,01/10/2024,01/10/2024,287676.0,1598,EASTERN PARKWAY,Brooklyn,11233.0,3014680052.0,3421424.0,BK-16,41,363.0,BK1601,40.67119,-73.915779,40.671167,-73.91504,01/10/2024,New Construction,No,Non Prevailing Wage,,,,,6.0,,,3.0,,3.0,,,,,6.0,,6,19,Privately Financed
75041,CONFIDENTIAL,01/11/2024,01/11/2024,,----,----,Queens,,,,QN-12,27,,,,,,,01/11/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,,,1.0,,,,,1.0,1,1,Privately Financed
75048,CONFIDENTIAL,01/11/2024,01/11/2024,,----,----,Manhattan,,,,MN-03,2,,,,,,,01/11/2024,New Construction,No,Non Prevailing Wage,,,1.0,,,,,,1.0,,,,,,,1.0,1,1,Privately Financed
