BIN,Number_of_CO_Filings,First_CO_Date,CO_Sources
3425049,29,2022-04-19,"DOB_NOW_CO, DOB_CO"
2129230,21,2021-06-30,"DOB_NOW_CO, DOB_CO"
2129132,20,2022-01-20,DOB_NOW_CO
2128884,20,2021-06-30,"DOB_NOW_CO, DOB_CO"
4622929,19,2022-04-26,"DOB_NOW_CO, DOB_CO"
3428749,18,2022-06-01,DOB_NOW_CO
2129467,18,2021-05-13,"DOB_NOW_CO, DOB_CO"
1091000,18,2022-06-09,DOB_NOW_CO
3426817,17,2021-07-26,"DOB_NOW_CO, DOB_CO"
3002107,17,2022-08-22,DOB_NOW_CO
3428601,16,2023-03-14,"DOB_NOW_CO, DOB_CO"
1091604,16,2022-09-12,DOB_NOW_CO
1090815,16,2022-03-25,DOB_NOW_CO
1091035,15,2024-03-21,DOB_NOW_CO
2024208,15,2021-11-03,"DOB_NOW_CO, DOB_CO"
2130763,14,2023-06-09,DOB_NOW_CO
3425088,14,2021-05-21,DOB_NOW_CO
3427349,14,2023-10-16,DOB_NOW_CO
1030422,13,2021-11-19,DOB_NOW_CO
4619734,13,2021-07-07,"DOB_NOW_CO, DOB_CO"
3426256,12,2023-02-21,"DOB_NOW_CO, DOB_CO"
4623445,12,2023-06-26,"DOB_NOW_CO, DOB_CO"
2001084,12,2023-05-26,DOB_NOW_CO
3428888,12,2022-09-28,DOB_NOW_CO
1091600,12,2023-03-14,DOB_NOW_CO
1091579,12,2022-09-30,"DOB_NOW_CO, DOB_CO"
2129160,12,2023-11-15,DOB_NOW_CO
1052673,12,2023-06-30,DOB_NOW_CO
4623448,11,2023-07-17,DOB_NOW_CO
4623447,11,2023-04-20,DOB_NOW_CO
3426244,11,2022-07-15,"DOB_NOW_CO, DOB_CO"
4436763,11,2023-06-27,"DOB_NOW_CO, DOB_CO"
2130650,10,2023-09-19,DOB_NOW_CO
2129384,10,2022-11-21,"DOB_NOW_CO, DOB_CO"
2129693,10,2023-12-18,DOB_NOW_CO
2129674,10,2023-08-29,"DOB_NOW_CO, DOB_CO"
2010971,10,2023-05-11,"DOB_NOW_CO, DOB_CO"
3427387,10,2024-02-28,"DOB_NOW_CO, DOB_CO"
3428618,9,2022-12-06,"DOB_NOW_CO, DOB_CO"
2017263,9,2024-08-21,DOB_NOW_CO
4602879,9,2022-04-04,DOB_NOW_CO
2130670,9,2023-12-28,DOB_NOW_CO
3428961,9,2024-01-30,DOB_NOW_CO
2130660,9,2024-04-19,"DOB_NOW_CO, DOB_CO"
1012275,9,2024-03-07,DOB_NOW_CO
2129313,9,2022-04-06,"DOB_NOW_CO, DOB_CO"
4617912,9,2022-05-24,DOB_NOW_CO
1091040,9,2023-08-21,"DOB_NOW_CO, DOB_CO"
4619386,9,2024-02-15,DOB_NOW_CO
1091647,9,2023-05-30,"DOB_NOW_CO, DOB_CO"
1091675,9,2023-04-07,DOB_NOW_CO
2099635,8,2023-01-17,"DOB_NOW_CO, DOB_CO"
4000694,8,2022-09-21,"DOB_NOW_CO, DOB_CO"
3429692,8,2023-03-03,"DOB_NOW_CO, DOB_CO"
2129207,8,2023-12-13,DOB_NOW_CO
3117838,8,2023-12-29,DOB_NOW_CO
3425087,8,2023-05-25,DOB_NOW_CO
2113436,8,2024-07-02,DOB_NOW_CO
4607819,8,2023-02-28,DOB_NOW_CO
3428849,8,2023-03-30,"DOB_NOW_CO, DOB_CO"
3428606,8,2024-02-01,DOB_NOW_CO
2042240,8,2023-08-08,DOB_NOW_CO
3010094,8,2024-04-03,DOB_NOW_CO
3044163,7,2024-03-19,DOB_NOW_CO
1076207,7,2024-09-04,DOB_NOW_CO
2130659,7,2023-07-03,"DOB_NOW_CO, DOB_CO"
1087037,7,2024-08-09,"DOB_NOW_CO, DOB_CO"
3429686,7,2024-07-22,DOB_NOW_CO
1091038,7,2024-03-04,DOB_NOW_CO
3428595,7,2023-01-26,"DOB_NOW_CO, DOB_CO"
4623596,7,2023-07-14,DOB_NOW_CO
3055424,7,2023-01-12,"DOB_NOW_CO, DOB_CO"
2128940,7,2024-01-19,DOB_NOW_CO
2015801,7,2023-08-14,"DOB_NOW_CO, DOB_CO"
3429049,7,2023-10-06,DOB_NOW_CO
3109420,6,2024-08-09,"DOB_NOW_CO, DOB_CO"
2129687,6,2023-06-13,DOB_NOW_CO
2129684,6,2024-05-07,"DOB_NOW_CO, DOB_CO"
3068278,6,2023-07-19,"DOB_NOW_CO, DOB_CO"
2129717,6,2024-08-01,DOB_NOW_CO
2130639,6,2023-11-06,"DOB_NOW_CO, DOB_CO"
2130545,6,2023-10-10,"DOB_NOW_CO, DOB_CO"
2130595,6,2023-03-09,"DOB_NOW_CO, DOB_CO"
3328167,6,2024-05-20,"DOB_NOW_CO, DOB_CO"
2129651,6,2023-10-31,"DOB_NOW_CO, DOB_CO"
2016341,6,2024-09-18,"DOB_NOW_CO, DOB_CO"
2129137,6,2024-06-06,DOB_NOW_CO
4624027,6,2023-09-26,"DOB_NOW_CO, DOB_CO"
1091703,6,2023-08-04,"DOB_NOW_CO, DOB_CO"
1091774,6,2024-08-29,DOB_NOW_CO
4623384,6,2022-03-07,"DOB_NOW_CO, DOB_CO"
4618650,6,2021-09-03,"DOB_NOW_CO, DOB_CO"
4617904,6,2022-04-25,DOB_NOW_CO
2016339,6,2024-09-18,"DOB_NOW_CO, DOB_CO"
2120490,6,2024-07-18,DOB_NOW_CO
3323647,6,2021-11-08,"DOB_NOW_CO, DOB_CO"
2130690,5,2024-01-26,"DOB_NOW_CO, DOB_CO"
3048525,5,2024-05-10,"DOB_NOW_CO, DOB_CO"
3323539,5,2020-07-21,DOB_CO
2008070,5,2024-08-26,DOB_NOW_CO
3428876,5,2024-01-30,"DOB_NOW_CO, DOB_CO"
2129659,5,2024-01-19,DOB_NOW_CO
3067546,5,2024-12-02,DOB_NOW_CO
2008345,5,2024-05-02,DOB_NOW_CO
3426408,5,2023-10-06,DOB_NOW_CO
3427297,5,2023-08-15,DOB_NOW_CO
3425663,5,2025-01-27,DOB_NOW_CO
4620901,5,2023-10-02,DOB_NOW_CO
4620899,5,2024-05-10,"DOB_NOW_CO, DOB_CO"
3427362,5,2024-02-14,DOB_NOW_CO
2016340,5,2024-09-19,DOB_NOW_CO
2012525,5,2023-05-01,"DOB_NOW_CO, DOB_CO"
3427363,5,2024-02-22,DOB_NOW_CO
2129668,5,2024-01-09,"DOB_NOW_CO, DOB_CO"
3083402,5,2023-06-06,"DOB_NOW_CO, DOB_CO"
2014244,5,2024-06-21,DOB_NOW_CO
3088675,5,2023-01-20,"DOB_NOW_CO, DOB_CO"
2129205,5,2023-12-13,"DOB_NOW_CO, DOB_CO"
3242302,5,2024-07-22,DOB_NOW_CO
3429339,5,2024-03-19,"DOB_NOW_CO, DOB_CO"
2129210,5,2024-01-16,"DOB_NOW_CO, DOB_CO"
4007869,5,2023-06-28,"DOB_NOW_CO, DOB_CO"
3429174,5,2023-12-05,"DOB_NOW_CO, DOB_CO"
3114069,5,2024-08-14,"DOB_NOW_CO, DOB_CO"
2129683,5,2024-04-24,"DOB_NOW_CO, DOB_CO"
2129689,5,2024-12-09,DOB_NOW_CO
2129647,4,2024-07-17,"DOB_NOW_CO, DOB_CO"
4623824,4,2023-08-21,"DOB_NOW_CO, DOB_CO"
2001531,4,2023-12-27,"DOB_NOW_CO, DOB_CO"
3119670,4,2023-12-08,"DOB_NOW_CO, DOB_CO"
3394657,4,2024-06-13,"DOB_NOW_CO, DOB_CO"
2129653,4,2023-11-02,DOB_NOW_CO
3071063,4,2024-08-20,"DOB_NOW_CO, DOB_CO"
3024085,4,2023-10-12,"DOB_NOW_CO, DOB_CO"
3179617,4,2023-11-06,"DOB_NOW_CO, DOB_CO"
3388089,4,2023-06-22,"DOB_NOW_CO, DOB_CO"
2129211,4,2023-12-13,"DOB_NOW_CO, DOB_CO"
1060632,4,2024-04-11,DOB_NOW_CO
2130820,4,2022-11-21,"DOB_NOW_CO, DOB_CO"
2130883,4,2023-11-15,DOB_NOW_CO
2007238,4,2023-07-28,DOB_NOW_CO
2129665,4,2023-12-22,DOB_NOW_CO
