Project ID,Project Name,Project Start Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Program Group,Project Completion Date,Extended Affordability Status,Planned Tax Benefit,subject_to_ll44,Financing Type
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329,2319,3 AVENUE,Manhattan,10035,1017907501,1054682,MN-11,8,242,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,True,HPD Financed
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,927737,335,RALPH AVENUE,Brooklyn,11233,3015560003,3000000,BK-03,41,301,BK1601,40.677644,-73.921745,40.677474,-73.921492,2024-09-24T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,13.0,,,,2.0,11.0,,,,,,,13.0,13.0,13,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,True,HPD Financed
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,969695,35,ROCHESTER AVENUE,Brooklyn,11233,3017090009,3000000,BK-03,41,299,BK0302,40.677925,-73.927466,40.677886,-73.927181,2024-06-11T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,2.0,6.0,,,2.0,6.0,,,,,,,8.0,8.0,8,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,True,HPD Financed
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,975702,18-22,SUYDAM PLACE,Brooklyn,11233,3017090028,3000000,BK-03,41,299,BK0302,40.677823,-73.926554,40.677782,-73.926828,2024-03-05T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,14.0,1.0,,,14.0,1.0,,,,,,,15.0,15.0,15,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,True,HPD Financed
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,977564,329,RALPH AVENUE,Brooklyn,11233,3015560007,3000000,BK-03,41,301,BK1601,40.677798,-73.92173,40.677663,-73.921474,2024-07-24T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,10.0,,,,3.0,7.0,,,,,,,10.0,10.0,10,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,True,HPD Financed
44225,Brook Avenue Apartments,2014-06-27T00:00:00.000,927748,469,EAST 147 STREET,Bronx,10455,2022927501,2129098,BX-01,8,43,BX0101,40.813854,-73.9164,40.81401,-73.916234,2016-12-23T00:00:00.000,New Construction,No,Non Prevailing Wage,,,11.0,,,,,1.0,10.0,,,,,,11.0,,11.0,11,Multifamily Finance Program,2016-12-28T00:00:00.000,No,421a,True,HPD Financed
44225,Brook Avenue Apartments,2014-06-27T00:00:00.000,955261,455,EAST 147 STREET,Bronx,10455,2022927501,2000000,BX-01,8,43,BX0101,40.813948,-73.916682,40.81401,-73.916234,2016-12-28T00:00:00.000,New Construction,No,Non Prevailing Wage,,14.0,40.0,,,1.0,7.0,35.0,12.0,1.0,,,,,55.0,,55.0,55,Multifamily Finance Program,2016-12-28T00:00:00.000,No,421a,True,HPD Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,336111,2427,MERMAID AVENUE,Brooklyn,11224,3070140053,3426941,BK-13,47,326,BK1302,40.575896,-73.99149,40.576064,-73.992106,2017-05-03T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,,,1.0,2.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,336151,3216,MERMAID AVENUE,Brooklyn,11224,3070480006,3413815,BK-13,47,342,BK1302,40.575062,-73.998834,40.574796,-73.999075,2017-05-04T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,,,1.0,2.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,394346,2816,WEST 16 STREET,Brooklyn,11224,3070210016,3425388,BK-13,47,326,BK1302,40.57844,-73.984045,40.578473,-73.984366,2017-05-03T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,3.0,,,,1.0,2.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,927137,2425,MERMAID AVENUE,Brooklyn,11224,3070140052,3188890,BK-13,47,326,BK1302,40.575896,-73.991476,40.576072,-73.992034,2017-05-19T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,,,1.0,2.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,967108,3566,CANAL AVENUE,Brooklyn,11224,3069780022,3413785,BK-13,47,330,BK1302,40.579028,-74.00238,40.578883,-74.00193,2017-07-21T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,1.0,,1.0,1.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,967109,2818,WEST 16 STREET,Brooklyn,11224,3070210017,3425387,BK-13,47,326,BK1302,40.578407,-73.984038,40.578421,-73.984355,2017-05-04T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,1.0,2.0,,,,1.0,2.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44230,Mermaid  / West. 16th Street,2015-06-30T00:00:00.000,967127,3568,CANAL AVENUE,Brooklyn,11224,3069780021,3413786,BK-13,47,330,BK1302,40.579028,-74.002383,40.578853,-74.001994,2017-07-20T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,,,1.0,2.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2017-07-21T00:00:00.000,No,UDAAP,True,Privately Financed
44239,Home for Harlem Dowling,2014-06-30T00:00:00.000,927150,2139,ADAM C POWELL JR BOULEVARD,Manhattan,10027,1019110061,1090253,MN-10,9,224,MN1002,40.81014,-73.947461,40.809912,-73.947125,2016-12-29T00:00:00.000,New Construction,No,Non Prevailing Wage,12.0,,47.0,,,1.0,12.0,12.0,36.0,,,,,,60.0,,60.0,60,Multifamily Finance Program,2016-12-29T00:00:00.000,No,420c,True,HPD Financed
44256,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,2018-12-31T00:00:00.000,988143,137,WEST 108 STREET,Manhattan,10025,1018637501,1090749,MN-07,7,193,MN0703,40.801083,-73.963173,40.801533,-73.963678,2021-09-29T00:00:00.000,New Construction,No,Non Prevailing Wage,129.0,,69.0,,,1.0,119.0,53.0,19.0,8.0,,,,,199.0,,199.0,199,Multifamily Finance Program,2021-09-29T00:00:00.000,No,,True,HPD Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957381,1204,37 STREET,Brooklyn,11218,3052957501,3395126,BK-12,39,226,BK1202,40.64283,-73.986941,40.642852,-73.98728,2019-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957382,1208,37 STREET,Brooklyn,11218,3052957501,3395127,BK-12,39,226,BK1202,40.642792,-73.986877,40.642773,-73.987147,2019-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957383,1214,37 STREET,Brooklyn,11218,3052957501,3395128,BK-12,39,226,BK1202,40.642737,-73.986783,40.642682,-73.986995,2019-05-06T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957384,1220,37 STREET,Brooklyn,11218,3052957501,3395129,BK-12,39,226,BK1202,40.642679,-73.986689,40.642592,-73.986844,2019-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957387,1226,37 STREET,Brooklyn,11218,3052957501,3395130,BK-12,39,226,BK1202,40.642622,-73.986596,40.642501,-73.986696,2019-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957388,1232,37 STREET,Brooklyn,11218,3052957501,3395131,BK-12,39,226,BK1202,40.642567,-73.986502,40.64241,-73.986545,2019-02-15T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957389,1264,37 STREET,Brooklyn,11218,3052957501,3395134,BK-12,39,226,BK1202,40.642262,-73.985997,40.641903,-73.985706,2019-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957390,1270,37 STREET,Brooklyn,11218,3052957501,3395135,BK-12,39,226,BK1202,40.642205,-73.985904,40.641809,-73.985551,2019-02-15T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
44265,CULVER EL PHASE I,2014-11-25T00:00:00.000,957420,1276,37 STREET,Brooklyn,11218,3052957501,3395136,BK-12,39,226,BK1202,40.64215,-73.98581,40.641727,-73.985414,2019-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,4.0,,,,,,,4.0,,,,,4.0,4.0,4,Small Homes Program,2019-05-06T00:00:00.000,No,UDAAP,True,Privately Financed
