BIN,Number_of_Filings
1026951,44
3413736,42
1091802,40
2129644,33
3042287,32
4619386,30
3424509,29
2003929,27
1090922,26
3427362,25
3427033,25
2127760,25
3402701,24
4072830,24
3424834,24
3429049,24
2129678,23
2129717,23
3427363,22
4001289,22
1091035,21
1083034,21
2130549,20
1089165,19
2003447,19
4620885,19
3427077,19
3336148,18
3425801,18
4620913,18
2129729,18
1089438,18
3414036,18
3426408,18
3428961,18
2129659,18
3398428,17
2129667,17
2128521,17
4310504,17
3182580,17
2128676,17
2013628,17
1089321,16
1091726,16
4595613,16
2120210,16
1089788,16
4009646,16
1090671,16
3418101,16
2086657,16
1051260,16
2129670,16
3429316,16
1089917,16
3065680,16
2127129,16
4008464,15
2003543,15
1087037,15
3425320,15
2100828,15
3340500,15
3326450,15
1089838,14
1090547,14
2115530,14
3336117,14
1090143,14
4007487,14
3399785,14
2008251,14
2129098,14
3421605,14
2129686,14
4620816,14
2129658,14
3042827,14
2129682,14
2129144,14
4436744,14
1090211,14
3035471,14
3338634,14
2008159,13
3424222,13
3428601,13
4617666,13
2128940,13
2003566,13
2128953,13
2001293,13
3425050,13
4622953,13
2130748,13
4036413,13
4020640,13
3253056,13
1052673,13
2129688,13
3426256,13
3332112,13
2129661,13
2102490,12
2129718,12
4623972,12
3426344,12
3397135,12
3425328,12
3425327,12
3424731,12
2007563,12
4617186,12
3327047,12
2127131,12
1090601,12
3428769,12
2008565,12
3427383,12
2129653,12
2129712,12
2015148,12
4077474,12
2113605,12
3428938,12
3426518,12
2130640,11
4623168,11
4596913,11
4624518,11
3429355,11
2129677,11
2129268,11
1080177,11
4554538,11
3428568,11
4017170,11
2007617,11
4618716,11
3426243,11
3421440,11
3421398,11
1091698,11
3324563,11
4620927,11
3425174,11
1091569,11
3394657,11
3425870,11
2057426,11
3330787,11
3429588,11
2124370,11
2130883,11
1090716,11
2129657,11
3328369,11
3424179,11
2012504,11
4617681,11
1090460,11
1090952,11
2129656,10
3038424,10
1014254,10
2129695,10
2129056,10
2129642,10
1087334,10
2129190,10
3426373,10
3426797,10
