Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,BIN_normalized
58479,SOUNDVIEW HOMES - PHASE III,09/30/2020,01/26/2024,996068.0,1715,LACOMBE AVENUE,Bronx,10473.0,2035150001.0,2092605.0,BX-09,18,2001.0,BX0902,40.814487,-73.865674,40.815663,-73.86673,01/26/2024,New Construction,No,Non Prevailing Wage,,,,8.0,,,,4.0,4.0,,,,,,,8.0,8,8,2092605.0
73674,1135 TELLER AVENUE,03/20/2023,02/05/2024,112760.0,1137,TELLER AVENUE,Bronx,10456.0,2024340070.0,2000000.0,BX-04,16,175.0,BX0401,40.830737,-73.912527,40.830726,-73.91282,02/05/2024,New Construction,No,Non Prevailing Wage,,,,,43.0,,,28.0,15.0,,,,,,43.0,,43,44,2000000.0
73692,1412 COLLEGE AVENUE APARTMENTS,03/14/2023,02/06/2024,57860.0,1412,COLLEGE AVENUE,Bronx,10456.0,2027840003.0,2007236.0,BX-04,16,225.0,BX0403,40.837827,-73.910393,40.837813,-73.910049,02/06/2024,New Construction,No,Non Prevailing Wage,,,,,5.0,,2.0,3.0,,,,,,,5.0,,5,16,2007236.0
74645,1315 FINDLAY AVENUE,07/26/2023,02/16/2024,78328.0,1315,FINDLAY AVENUE,Bronx,10456.0,2027830070.0,2007211.0,BX-04,16,17702.0,BX0403,40.835459,-73.910779,40.835495,-73.911057,02/16/2024,New Construction,No,Non Prevailing Wage,,,,,18.0,,14.0,4.0,,,,,,,18.0,,18,19,2007211.0
68747,88 EAST 127TH STREET,02/03/2022,02/22/2024,991167.0,88,EAST 126 STREET,Manhattan,10035.0,,,MN-11,9,198.0,MN1102,40.805955,-73.939106,,,02/22/2024,New Construction,No,Non Prevailing Wage,,32.0,,,8.0,,15.0,9.0,16.0,,,,,,40.0,,40,160,
74235,1311 MORRIS AVENUE APARTMENTS,06/06/2023,02/26/2024,97367.0,1311,MORRIS AVENUE,Bronx,10456.0,2028160065.0,2007803.0,BX-04,16,17902.0,BX0403,40.836072,-73.912459,40.836051,-73.912809,02/26/2024,New Construction,No,Non Prevailing Wage,,,,,19.0,,15.0,4.0,,,,,,,19.0,,19,20,2007803.0
74564,3308 GLENWOOD ROAD APARTMENTS,09/21/2023,02/28/2024,1010117.0,3308,GLENWOOD ROAD,Brooklyn,11210.0,3075610041.0,3000000.0,BK-17,45,784.0,BK1702,40.634183,-73.944678,40.633947,-73.944429,02/28/2024,New Construction,No,Non Prevailing Wage,,,,,12.0,,,7.0,5.0,,,,,,12.0,,12,38,3000000.0
63026,LOS SURES. 11-23 MONTIETH ST. RHEINGOLD,09/29/2021,02/29/2024,974198.0,2025-11-23T00:00:00.000,MONTIETH STREET,Brooklyn,11206.0,3031390030.0,3000000.0,BK-04,34,391.0,BK0401,40.701439,-73.936255,40.701692,-73.936056,02/29/2024,New Construction,No,Prevailing Wage,93.0,,,,,1.0,54.0,39.0,1.0,,,,,,94.0,,94,94,3000000.0
74929,26-12 4TH STREET,09/05/2023,03/15/2024,1011370.0,26-12,4 STREET,Queens,11102.0,4009100027.0,4000000.0,QN-01,22,87.0,QN0102,40.775823,-73.932808,40.775848,-73.933118,03/15/2024,New Construction,No,Non Prevailing Wage,,,,,7.0,,,7.0,,,,,,,7.0,,7,22,4000000.0
74649,521 WEST 134TH STREET APARTMENTS,07/24/2023,03/15/2024,1009820.0,521,WEST 134 STREET,Manhattan,10031.0,1019880014.0,1000000.0,MN-09,7,22301.0,MN0902,40.818857,-73.954181,40.819085,-73.954156,03/15/2024,New Construction,No,Non Prevailing Wage,,,,,9.0,,,8.0,1.0,,,,,,9.0,,9,28,1000000.0
70454,BROOKLYN - 985 PACIFIC STREET_MIH70451,01/21/2022,04/04/2024,996698.0,985,PACIFIC STREET,Brooklyn,11238.0,3011250001.0,3000000.0,BK-08,35,305.0,BK0802,40.679566,-73.960979,40.679855,-73.961314,04/04/2024,New Construction,No,Non Prevailing Wage,,7.0,7.0,,4.0,,3.0,9.0,6.0,,,,,,18.0,,18,69,3000000.0
74950,2361 MORRIS AVE,08/08/2023,04/10/2024,1009736.0,2361,MORRIS AVENUE,Bronx,10468.0,2031830043.0,2000000.0,BX-05,14,239.0,BX0503,40.859832,-73.900884,40.859874,-73.901163,04/10/2024,New Construction,No,Non Prevailing Wage,,,,,44.0,,18.0,26.0,,,,,,,44.0,,44,45,2000000.0
73757,1701 CLAY AVENUE APARTMENTS_HPS,12/05/2022,04/15/2024,56959.0,1701,CLAY AVENUE,Bronx,10457.0,2027900049.0,2129660.0,BX-04,15,22902.0,BX0403,40.84424,-73.904883,40.844276,-73.905176,04/15/2024,New Construction,No,Non Prevailing Wage,,,,,16.0,,5.0,5.0,5.0,1.0,,,,,16.0,,16,17,2129660.0
73307,2117 BATHGATE AVENUE,09/06/2022,05/07/2024,1007119.0,2117,BATHGATE AVENUE,Bronx,10457.0,2030470019.0,2000000.0,BX-06,15,395.0,BX0602,40.851395,-73.894618,40.851568,-73.894856,05/07/2024,New Construction,No,Non Prevailing Wage,,,,,4.0,,3.0,1.0,,,,,,,4.0,,4,12,2000000.0
74212,2895 VALENTINE APARTMENTS_HPS,06/01/2023,05/08/2024,1009007.0,2895,VALENTINE AVENUE,Bronx,10458.0,2033050051.0,2129666.0,BX-07,15,40702.0,BX0702,40.870262,-73.888633,40.87049,-73.888839,05/08/2024,New Construction,No,Non Prevailing Wage,,,,,61.0,,16.0,18.0,27.0,,,,,,61.0,,61,62,2129666.0
74910,383 RUTLAND RD,12/21/2023,05/10/2024,1010222.0,383,RUTLAND ROAD,Brooklyn,11225.0,3048010154.0,3427372.0,BK-09,40,804.0,BK0902,40.659549,-73.948318,40.659769,-73.948181,05/10/2024,New Construction,No,Non Prevailing Wage,,,,,2.0,,,2.0,,,,,,,2.0,,2,6,3427372.0
64383,1921 ATLANTIC AVE,08/19/2020,05/14/2024,185836.0,1921,ATLANTIC AVENUE,Brooklyn,11233.0,3015577501.0,3000000.0,BK-03,41,301.0,BK1601,40.676877,-73.920408,40.677262,-73.920494,12/20/2022,New Construction,No,Non Prevailing Wage,60.0,58.0,117.0,,,,52.0,79.0,59.0,45.0,,,,,235.0,,235,236,3000000.0
74821,27-16 21 ST,10/23/2023,05/15/2024,1010454.0,27-16,21 STREET,Queens,11102.0,4005390032.0,4620917.0,QN-01,22,83.0,QN0102,40.771855,-73.926244,40.7719,-73.92658,05/15/2024,New Construction,No,Non Prevailing Wage,,,,,15.0,,,7.0,8.0,,,,,,15.0,,15,49,4620917.0
74931,2136-2138 BEDFORD AVE,07/31/2023,05/15/2024,1009535.0,2136,BEDFORD AVENUE,Brooklyn,11226.0,,,BK-14,40,79602.0,BK1401,40.652084,-73.955997,,,05/15/2024,New Construction,No,Non Prevailing Wage,,,,,5.0,,,,5.0,,,,,,5.0,,5,7,
70815,132-77 METROPOLITAN AVENUE,06/28/2021,05/16/2024,998853.0,132-77,METROPOLITAN AVENUE,Queens,11418.0,4092850090.0,4000000.0,QN-09,29,21602.0,QN0901,40.70284,-73.818461,40.702882,-73.817603,05/16/2024,New Construction,No,Non Prevailing Wage,,,13.0,,,,2.0,8.0,3.0,,,,,,13.0,,13,40,4000000.0
