projectdwid,projectid,projectname,programname,startdate,projectedcompletiondate,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,commercial_square_footage,borrower_legal_entity_name,general_contractor_name,is_davis_bacon,is_section_220_nys_labor_law
19294,44218,MEC E. 125TH ST. PARCEL B WEST,Multifamily Finance Program,2018-12-31T00:00:00.000,2022-02-16T00:00:00.000,297,0,297.0,404,62204.0,EAST HARLEM MEC PARCEL B WEST LLC,MONADNOCK CONSTRUCTION,No,No
19487,44223,ROCHESTER SUYDAM PHASE 1,Multifamily Finance Program,2021-06-30T00:00:00.000,,0,46,46.0,46,0.0,BJF DEVELOPMENT LLC,"Z H L GROUP, INC.",No,No
19059,44225,Brook Avenue Apartments,Multifamily Finance Program,2014-06-27T00:00:00.000,2016-12-28T00:00:00.000,66,0,66.0,66,1965.0,"BX Properties, LLC",Yuco Builders LLC,No,No
19421,44230,Mermaid  / West. 16th Street,Small Homes Program,2015-06-30T00:00:00.000,2017-07-21T00:00:00.000,14,7,21.0,21,0.0,NEPTUNE II LLC,Shelter Rock Builders LLC,No,No
19348,44239,Home for Harlem Dowling,Multifamily Finance Program,2014-06-30T00:00:00.000,2016-12-29T00:00:00.000,60,0,60.0,60,0.0,Harlem Dowling Alembic LLC,"Mega Contracting, Inc.",No,No
18601,44249,2311 Tiebout Avenue,Multifamily Finance Program,2013-06-10T00:00:00.000,2016-07-15T00:00:00.000,0,0,20.0,20,0.0,Tiebout Green LLC,Galaxy,No,No
19420,44250,MERCY. 485 4TH AVE. MERCY HOME,Multifamily Finance Program,2014-02-06T00:00:00.000,,0,0,,8,0.0,Mercy Home Housing Development Fund Organization,DESIGN AND CONSTRUCTION BY NATIVO,No,No
19611,44256,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,Multifamily Finance Program,2018-12-31T00:00:00.000,2021-09-29T00:00:00.000,199,0,199.0,199,0.0,WEST 108TH STREET LP,PROCIDA-BUTZ,No,No
18604,44258,BRADHURST CORNERSTONE II APARTMENTS,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-10-22T00:00:00.000,0,0,31.0,31,0.0,Bradhurst Cornerstone II Owners LLC,GKC INDUSTRIES INC,No,No
19274,44265,CULVER EL PHASE I,Small Homes Program,2014-11-25T00:00:00.000,2019-05-06T00:00:00.000,0,36,36.0,36,0.0,CULVER HOUSING DEVELOPMENTS LLC,Mosab Construction Corp.,No,No
19416,44280,ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),Multifamily Finance Program,2015-06-30T00:00:00.000,2019-02-27T00:00:00.000,199,0,199.0,199,8230.0,ELTON CROSSING ASSOCIATES LP,L RISO & SONS CO INC,No,No
19536,44281,STANLEY COMMONS,Multifamily Finance Program,2014-12-31T00:00:00.000,2018-01-23T00:00:00.000,240,0,240.0,240,0.0,Stanley Commons LLC,Galaxy,No,No
19323,44282,NYCHA FULTON HOUSES,Multifamily Finance Program,2016-12-28T00:00:00.000,2018-11-20T00:00:00.000,160,0,160.0,160,0.0,18TH STREET FULTON EQUITIES LLC,ARTIMUS CONSTRUCTION,No,No
19589,44285,VAN BUREN/GREENE,Small Homes Program,2016-06-30T00:00:00.000,2020-02-05T00:00:00.000,10,10,20.0,20,0.0,VAN BUREN GREENE LLC,ELH CONSTRUCTION CO LLC,No,No
19283,44288,DEAN STREET RESIDENCES CONDOMINIUM,Small Homes Program,2014-06-26T00:00:00.000,2018-06-18T00:00:00.000,0,15,15.0,15,0.0,Habitat for Humanity New York City Inc.,"GKC Industries, Inc.",No,No
19593,44295,Van Sinderen Plaza,Multifamily Finance Program,2016-06-29T00:00:00.000,2021-09-17T00:00:00.000,130,0,130.0,130,26206.0,VAN SINDEREN PLAZA LLC,MacQuesten Construction Management,No,No
18545,44303,Coretta Scott King Apartments,Multifamily Finance Program,2013-07-10T00:00:00.000,2015-07-14T00:00:00.000,0,0,51.0,51,0.0,CSK HDFC,CHEEVER DEVELOPMENT CORP,Yes,No
18628,44306,640 Broadway,Multifamily Finance Program,2013-10-30T00:00:00.000,2016-06-10T00:00:00.000,0,0,7.0,7,0.0,640 Broadway HDFC,EURO BUILDERS LLC,No,No
