funddwid,projectid,fundname,type,amount
51776,44218,City Capital,Loan,33000000
52837,44218,Reso A,Loan,3000000
51779,44223,City Capital,Loan,8740000
61996,44223,Reso A,Grant,1000000
37079,44225,421-a Fund,Loan,2760000
38709,44225,Reso A,Loan,1200000
34326,44239,City Capital,Loan,3600000
34555,44239,Reso A,Loan,1000000
36510,44249,421-a Fund,Loan,1062515
34631,44250,Reso A,Loan,120000
37183,44250,City Capital,Loan,255000
55300,44256,City Capital,Loan,9216536
30955,44258,HOME,Loan,1038500
34473,44280,Reso A,Loan,600000
38694,44280,421-a Fund,Loan,12679250
33124,44281,City Capital,Loan,11329360
34780,44281,HOME,Loan,2500000
36723,44281,Reso A,Loan,5014000
49512,44282,Reso A,Loan,1500000
49522,44282,City Capital,Loan,25474268
30916,44285,City Capital,Loan,1400000
33837,44288,City Capital,Loan,1632000
32887,44295,Reso A,Loan,500000
38331,44295,City Capital,Loan,10075000
33425,44303,HOME,Loan,3315000
34497,44303,Reso A,Loan,2750000
31110,44306,Reso A,Loan,1415000
30629,44319,HOME,Loan,2000000
31812,44319,Reso A,Loan,1500000
33342,44319,City Capital,Loan,1445000
36265,44324,Reso A,Loan,1111635
39402,44332,City Capital,Loan,1750000
30891,44333,Reso A,Loan,3000000
34575,44333,HOME,Loan,1267131
49579,44339,City Capital,Loan,40177800
49580,44339,City Capital,Loan,2240000
49581,44339,Reso A,Loan,7857000
50688,44340,City Capital,Loan,6000000
33828,44348,HOME,Loan,2471456
33916,44348,421-a Fund,Loan,4110274
33931,44348,City Capital,Loan,768544
33987,44348,Reso A,Loan,227000
36782,44348,421-a Fund,,8840000
68260,44350,Brownfield Grant,Grant,100000
32642,44353,HOME,Loan,1924560
36174,44353,Reso A,Loan,650000
32979,44357,City Capital,Loan,7560000
37737,44357,City Capital,Loan,11635000
38140,44357,Reso A,Loan,2500000
32667,44362,Reso A,Loan,4000000
34772,44362,City Capital,Loan,6699866
38125,44362,421-a Fund,,8710000
33605,44369,HOME,Loan,1166000
39035,44369,City Capital,Loan,1166000
32010,44388,City Capital,Loan,7050000
31188,44409,City Capital,Loan,7992000
34851,44431,City Capital,,21019902
51271,44431,Reso A,Grant,2250000
51272,44431,City Capital,Grant,4650000
36983,44602,Reso A,Loan,600000
37441,44602,City Capital,Loan,2332013
32644,44865,Reso A,Loan,744000
38036,44865,HOME,Loan,7222005
34643,44888,HOME,Loan,2000000
32212,45223,NSP3,Loan,1574038
34713,45223,HOME,Loan,4413310
38234,45265,City Capital,Loan,3476476
31055,45280,Purchase Money Mortgage,Loan,1408804
31975,45280,HOME,Loan,2200000
39207,45280,City Capital,Loan,400000
31413,45301,Reso A,Loan,750000
34175,45301,City Capital,Loan,6201648
35321,45303,421-a Fund,,4680000
38634,45303,HOME,Loan,6600000
37966,45326,City Capital,Loan,5475000
35370,45675,HOME,Loan,4475000
31378,45677,HOME,Loan,6840000
33649,46076,421-a Fund,Loan,6747120
30978,46143,City Capital,Loan,1900000
33643,46143,Reso A,Loan,800000
35933,46143,421-a Fund,Loan,11675000
33854,46299,HOME,Loan,2314490
36993,46299,City Capital,Loan,1195010
32527,47767,City Capital,Loan,4218339
32719,47772,City Capital,Loan,1365000
32791,47805,421-a Fund,Loan,10879312
34746,47805,Reso A,Loan,1500000
34595,47838,City Capital,Loan,118291
36291,47841,City Capital,Loan,455000
38494,47850,City Capital,Loan,2457000
34601,47858,City Capital,Loan,945000
32076,47861,City Capital,Loan,230728
33196,47862,City Capital,Loan,1295000
33604,47868,Reso A,Loan,2250000
48909,47878,Reso A,Loan,1696000
49834,47878,City Capital,Loan,545471
33805,47888,Reso A,Loan,1550000
35479,47888,City Capital,Loan,667000
31751,47948,City Capital,Loan,1356473
31024,47960,Purchase Money Mortgage,Loan,2335887
34790,47960,City Capital,Loan,11176061
33571,47962,Reso A,Loan,500000
35134,47962,City Capital,Loan,436790
35852,47962,HOME,Loan,4500000
35821,48002,City Capital,Loan,1452479
37144,48002,Reso A,Loan,4000000
32232,48003,City Capital,Loan,1400000
34892,48003,421-a Fund,Loan,7200000
35007,48003,Reso A,Loan,2650000
30696,48011,City Capital,Loan,7497955
34005,48012,421-a Fund,,4730000
34721,48012,HOME,Loan,4940000
35736,48013,City Capital,Loan,7375324
32841,48014,City Capital,Loan,899475
58305,48038,City Capital,Loan,110000
32540,48049,City Capital,Loan,1086350
37805,48049,HOME,Loan,1700000
33021,48128,HOME,Loan,1666224
37787,48128,City Capital,Loan,8406046
32325,48132,City Capital,Loan,2285000
36980,48132,HOME,Loan,1900000
37615,48132,Reso A,Loan,1000000
60284,48143,City Capital,Loan,9331294
36551,48254,City Capital,Loan,2558598
38091,48254,Reso A,Loan,500000
34056,48607,City Capital,Loan,14688465
52744,48608,City Capital,Loan,16775742
37595,48621,City Capital,Loan,3197959
31992,48624,City Capital,Loan,7365024
38066,48625,City Capital,Loan,3064015
36299,48626,City Capital,Loan,3734428
33067,48632,City Capital,Loan,6809168
39032,48634,City Capital,Loan,3753156
34539,48638,City Capital,Loan,6700000
34777,48638,HOME,Loan,1000000
32522,48639,HOME,Loan,8240000
36485,48639,Reso A,Loan,2000000
35886,48640,HOME,Loan,5375000
34431,48641,HOME,Loan,6875000
32308,48643,Reso A,Loan,600000
30977,48644,HOME,Loan,7560000
32206,48644,421-a Fund,,7020000
33080,48646,Reso A,Loan,4000000
36528,48646,HOME,Loan,22423094
30691,48647,City Capital,Loan,11938794
34886,48647,Reso A,Loan,500000
37403,48650,Reso A,Loan,3300000
36481,48657,421-a Fund,Loan,5757148
32669,48660,City Capital,Loan,5024659
32380,48676,City Capital,Loan,105000
36489,48677,City Capital,Loan,223969
37558,48678,City Capital,Loan,369982
34114,48679,City Capital,Loan,1439152
35558,48681,City Capital,Loan,438791
35396,48683,City Capital,Loan,1285542
36664,48685,City Capital,Loan,376022
37835,48686,City Capital,Loan,5254590
30896,48688,City Capital Funds / HDC Grant,,1920000
31529,48690,City Capital,Loan,1096039
34788,48704,City Capital,Loan,627374
31141,48726,City Capital,Loan,45700000
38734,48729,City Capital,Loan,18336195
38250,48730,HODAG Program Income,Loan,169595
32278,48731,City Capital,Loan,6754624
37420,48732,City Capital,Loan,1081607
30861,48733,HODAG Program Income,Loan,101933
32099,48735,City Capital,Loan,5351889
38139,48746,HODAG Program Income,Loan,164941
38228,48748,HODAG Program Income,Loan,69600
31475,48752,City Capital,Loan,1627267
51544,48753,Reso A,Grant,250000
31563,48754,City Capital,Loan,58989
32502,48754,HOME,Loan,1120795
33444,48755,Reso A,Loan,150000
36073,48755,City Capital,Loan,663840
35687,48760,Reso A,Loan,250000
35748,48760,City Capital,Loan,113135
39049,48763,City Capital,Loan,1927141
39162,48765,City Capital,Loan,5250000
35745,48768,City Capital,Loan,2460635
38404,48771,City Capital,Loan,6739000
30802,48772,Reso A,Loan,1200000
