Building ID,Project ID,Project Name,BIN,BBL,Borough,Number,Street,earliest_dob_date,fully_permitted_date,earliest_co_date,Building Completion Date,Project Start Date,total_nb_filings,count_nb_bisweb_01_matched,count_new_building_dobnow_i1_matched,score_co_completion_alignment,score_nb_filing_count,score_bin_match,score_co_start_date_alignment,score_fully_permitted_timing,total_data_quality_score,score_category
979259,54360,SPRING CREEK PHASE 4B-1,3421903,3044520290,Brooklyn,475,VANDALIA AVENUE,2016-09-29,2018-02-05,2019-09-30 00:00:00,2019-09-30,2017-12-28,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
975072,60249,FOX STREET PRC,2127337,2027247502,Bronx,960,SIMPSON STREET,2016-02-11,2016-12-23,2019-04-24 00:00:00,2019-04-24,2016-12-30,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
974501,58793,PCMH. 500 GATES AVENUE,3426345,3018140017,Brooklyn,500,GATES AVENUE,2015-12-21,2017-01-31,2018-10-11 00:00:00,2018-10-11,2016-12-08,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
995014,58936,COMMUNITY ACCESS.985 BRUCKNER BLVD,2129171,2027350028,Bronx,985,BRUCKNER BOULEVARD,2017-07-06,2018-02-20,2020-05-19 00:00:00,2020-05-19,2017-12-28,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
954207,52223,JERICHO. 2065 WALTON AVENUE,2129079,2031790060,Bronx,2065,WALTON AVENUE,2014-07-08,2015-06-02,2018-06-05 00:00:00,2018-06-05,2015-06-03,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
972598,52122,Essex Crossing - Site 2,1090554,1003527501,Manhattan,115,DELANCEY STREET,2014-09-30,2015-11-16,2018-12-27 00:00:00,2018-12-27,2015-06-30,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
968078,58955,STORY AVENUE WEST,2128970,2036237502,Bronx,1520,STORY AVENUE,2015-07-28,2017-01-27,2019-09-30 00:00:00,2019-09-30,2016-12-22,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
967329,52083,Essex Crossing - Site 5,1089660,1003467501,Manhattan,145,CLINTON STREET,2014-09-04,2015-11-02,2018-08-15 00:00:00,2018-07-31,2015-06-30,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
969652,58965,CONCERN. WEST 21ST STREET. CONEY ISLAND,3423863,3070720001,Brooklyn,3003,WEST 21 STREET,2016-04-14,2017-03-17,2019-05-02 00:00:00,2019-05-02,2016-09-22,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
966928,59032,Atlantic Yards B3,3418421,3011187501,Brooklyn,38,6 AVENUE,2015-02-12,2015-09-21,2017-08-01 00:00:00,2017-08-01,2015-06-17,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
972462,59388,BRONX PRO. 1017 HOME STREET,2128717,2029930031,Bronx,1017,HOME STREET,2016-07-26,2017-11-17,2019-09-11 00:00:00,2019-09-11,2017-06-28,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
969140,59495,2700 JEROME AVENUE,2129358,2033177501,Bronx,2700,JEROME AVENUE,2015-12-30,2017-05-15,2019-01-31 00:00:00,2019-01-31,2017-03-16,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
969539,59740,COMMUNITY ACCESS.111 EAST 172ND STREET,2129011,2028350012,Bronx,111,EAST 172 STREET,2015-11-25,2016-12-21,2019-06-19 00:00:00,2019-06-19,2016-09-22,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
974093,60020,MORRIS II APARTMENTS,2128727,2024417501,Bronx,2980,PARK AVENUE,2016-06-06,2017-06-29,2018-11-02 00:00:00,2018-11-02,2017-04-05,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
971150,60249,FOX STREET PRC,2128360,2027247502,Bronx,1000,FOX STREET,2016-02-11,2016-12-23,2019-06-05 00:00:00,2019-06-05,2016-12-30,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
975396,51582,425 GRAND CONCOURSE,2129044,2023467501,Bronx,425,GRAND CONCOURSE,2017-04-14,2020-02-11,2022-05-16 15:11:04,2022-05-16,2019-12-20,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
973613,60425,LIVONIA PHASE II -SITE 9,3421386,3037997501,Brooklyn,463,LIVONIA AVENUE,2015-11-16,2018-05-22,2020-05-05 00:00:00,2020-05-05,2017-12-13,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
988458,63151,SPOFFORD DETENTION CENTER PHASE 1,2130390,2027387501,Bronx,720,TIFFANY STREET,2018-07-03,2019-08-20,2022-06-09 16:48:37,2022-06-09,2019-06-27,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
972899,60810,MLK PLAZA,2129095,2026007501,Bronx,869,EAST 147 STREET,2016-08-16,2017-04-26,2019-03-07 00:00:00,2019-03-07,2017-04-05,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
976948,51301,BRKG GND. 626 BERGEN AVE. LA CENTRAL,2127130,2023610025,Bronx,626,BERGEN AVENUE,2015-06-19,2017-08-28,2019-06-18 00:00:00,2019-06-18,2017-06-29,1,1,0,10,10,10,10,10,50,41-50 (Excellent)
