Project ID,Project Name,Project Start Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Program Group,Project Completion Date,Extended Affordability Status,Planned Tax Benefit,BIN_str,earliest_dob_date,earliest_dob_date_source,fully_permitted_date,BBL_str,count_nb_bisweb_01_matched,count_new_building_dobnow_i1_matched,earliest_co_date
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329,2319,3 AVENUE,Manhattan,10035,1017907501,1054682,MN-11,8,242,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682,2017-12-01,pre__filing_date,2019-05-22,1017907501,1,0,2021-12-13 15:16:09
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,927737,335,RALPH AVENUE,Brooklyn,11233,3015560003,3000000,BK-03,41,301,BK1601,40.677644,-73.921745,40.677474,-73.921492,2024-09-24T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,13.0,,,,2.0,11.0,,,,,,,13.0,13.0,13,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,3000000,2009-06-18,pre__filing_date,2021-08-19,3015560003,2,0,
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,969695,35,ROCHESTER AVENUE,Brooklyn,11233,3017090009,3000000,BK-03,41,299,BK0302,40.677925,-73.927466,40.677886,-73.927181,2024-06-11T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,2.0,6.0,,,2.0,6.0,,,,,,,8.0,8.0,8,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,3000000,2009-06-24,pre__filing_date,2021-08-20,3017090009,3,0,2024-06-11 00:00:00
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,975702,18-22,SUYDAM PLACE,Brooklyn,11233,3017090028,3000000,BK-03,41,299,BK0302,40.677823,-73.926554,40.677782,-73.926828,2024-03-05T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,14.0,1.0,,,14.0,1.0,,,,,,,15.0,15.0,15,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,3000000,2009-06-24,pre__filing_date,2021-08-18,3017090028,2,0,2024-02-12 09:15:45
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,977564,329,RALPH AVENUE,Brooklyn,11233,3015560007,3000000,BK-03,41,301,BK1601,40.677798,-73.92173,40.677663,-73.921474,2024-07-24T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,10.0,,,,3.0,7.0,,,,,,,10.0,10.0,10,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,3000000,2009-06-18,pre__filing_date,2021-08-20,3015560007,5,0,
44225,Brook Avenue Apartments,2014-06-27T00:00:00.000,927748,469,EAST 147 STREET,Bronx,10455,2022927501,2129098,BX-01,8,43,BX0101,40.813854,-73.9164,40.81401,-73.916234,2016-12-23T00:00:00.000,New Construction,No,Non Prevailing Wage,,,11.0,,,,,1.0,10.0,,,,,,11.0,,11.0,11,Multifamily Finance Program,2016-12-28T00:00:00.000,No,421a,2129098,2000-08-30,pre__filing_date,2015-02-12,2022927501,3,0,
44225,Brook Avenue Apartments,2014-06-27T00:00:00.000,955261,455,EAST 147 STREET,Bronx,10455,2022927501,2000000,BX-01,8,43,BX0101,40.813948,-73.916682,40.81401,-73.916234,2016-12-28T00:00:00.000,New Construction,No,Non Prevailing Wage,,14.0,40.0,,,1.0,7.0,35.0,12.0,1.0,,,,,55.0,,55.0,55,Multifamily Finance Program,2016-12-28T00:00:00.000,No,421a,2000000,,,,2022927501,0,0,
44239,Home for Harlem Dowling,2014-06-30T00:00:00.000,927150,2139,ADAM C POWELL JR BOULEVARD,Manhattan,10027,1019110061,1090253,MN-10,9,224,MN1002,40.81014,-73.947461,40.809912,-73.947125,2016-12-29T00:00:00.000,New Construction,No,Non Prevailing Wage,12.0,,47.0,,,1.0,12.0,12.0,36.0,,,,,,60.0,,60.0,60,Multifamily Finance Program,2016-12-29T00:00:00.000,No,420c,1090253,2014-03-18,pre__filing_date,2015-04-14,1019110061,1,0,2016-12-29 00:00:00
44256,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,2018-12-31T00:00:00.000,988143,137,WEST 108 STREET,Manhattan,10025,1018637501,1090749,MN-07,7,193,MN0703,40.801083,-73.963173,40.801533,-73.963678,2021-09-29T00:00:00.000,New Construction,No,Non Prevailing Wage,129.0,,69.0,,,1.0,119.0,53.0,19.0,8.0,,,,,199.0,,199.0,199,Multifamily Finance Program,2021-09-29T00:00:00.000,No,,1090749,2017-10-13,pre__filing_date,2019-05-15,1018637501,1,0,2021-09-29 15:02:09
44280,ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),2015-06-30T00:00:00.000,928040,432,EAST 162 STREET,Bronx,10451,2023837501,2127429,BX-03,17,141,BX0301,40.824462,-73.912514,40.824056,-73.912113,2019-02-27T00:00:00.000,New Construction,No,Non Prevailing Wage,15.0,46.0,137.0,,,1.0,7.0,79.0,95.0,18.0,,,,,199.0,,199.0,199,Multifamily Finance Program,2019-02-27T00:00:00.000,No,420c,2127429,2014-09-05,pre__filing_date,2016-01-11,2023837501,1,0,2019-02-27 00:00:00
