Project ID,Project Name,Project Start Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Program Group,Project Completion Date,Extended Affordability Status,Planned Tax Benefit,BIN_str,BBL_str,has_valid_bin,earliest_dob_date,earliest_dob_date_source,application_number,fully_permitted_date,earliest_co_date,bbl_normalized,Zoning Project ID,ZAP_project_name,ZAP_project_brief,ZAP_project_status,ZAP_public_status,ZAP_ulurp_non,ZAP_actions,ZAP_ulurp_numbers,ZAP_ceqr_number,ZAP_primary_applicant,ZAP_applicant_type,ZAP_borough,ZAP_community_district,ZAP_flood_zone_a,ZAP_flood_zone_shadedx,ZAP_current_milestone,ZAP_current_milestone_date,ZAP_app_filed_date,ZAP_certified_referred,ZAP_mih_flag,ZAP_mih_option1,ZAP_mih_option2,ZAP_mih_workforce,ZAP_mih_deepaffordability,ZAP_dcp_visibility,ZAP_completed_date,ZAP_ceqr_type,ZAP_ceqr_leadagency,ZAP_eas_eis,ZAP_noticed_date,ZAP_approval_date,ZAP_cc_district,ZAP_mih_mapped_no_res,ZAP_current_envmilestone,ZAP_current_envmilestone_date
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44218,MEC E. 125TH ST. PARCEL B WEST,2018-12-31T00:00:00.000,987329.0,2319,3 AVENUE,Manhattan,10035.0,1017907501.0,1054682.0,MN-11,8.0,242.0,MN1102,40.804262,-73.935383,40.803837,-73.93504,2022-02-16T00:00:00.000,New Construction,No,Non Prevailing Wage,,101.0,101.0,,93.0,2.0,83.0,70.0,129.0,15.0,,,,,297.0,,297.0,404,Multifamily Finance Program,2022-02-16T00:00:00.000,No,Article XI,1054682.0,1017907501.0,True,2017-12-01,pre__filing_date,121204464,2019-05-22,2021-12-13 15:16:09,1017907501,2025M0253,East Harlem 125th Street BID,"An application by the NYC Department of Small Business Services (SBS)  to establish and approve a district plan for the proposed East Harlem 125th Street Business Improvement District (BID) in Community District 11, East Harlem Manhattan.

(Map shows approximate boundary, please see Public Documents below for exact boundary)",Complete,Completed,Non-ULURP,BD,N250114BDM,25SBS002M,SBS - NYC Small Business Services,Other Public Agency,Manhattan,M11,false,false,BD - Project Completed,2025-03-20T00:00:00.000,2024-11-15T00:00:00.000,2024-11-26T00:00:00.000,false,false,False,false,false,General Public,,Not Applicable,,,,,,,,
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,927737.0,335,RALPH AVENUE,Brooklyn,11233.0,3015560003.0,3000000.0,BK-03,41.0,301.0,BK1601,40.677644,-73.921745,40.677474,-73.921492,2024-09-24T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,13.0,,,,2.0,11.0,,,,,,,13.0,13.0,13,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,3000000.0,3015560003.0,False,2020-05-07,pre__filing_date,321590765,2021-08-19,,3015560003,P1990K0641,C-O-P,"UNRESTRICTED DISPOSITION OF CITY-OWNED PROPERTY, 24 PARCELS",Withdrawn-Other,Completed,ULURP,,,,DRP,Other Public Agency,Brooklyn,K03,,,,,,1991-11-13T00:00:00.000,,,,,,General Public,1991-11-13T00:00:00.000,,,,,,,,,
44223,ROCHESTER SUYDAM PHASE 1,2021-06-30T00:00:00.000,927737.0,335,RALPH AVENUE,Brooklyn,11233.0,3015560003.0,3000000.0,BK-03,41.0,301.0,BK1601,40.677644,-73.921745,40.677474,-73.921492,2024-09-24T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,13.0,,,,2.0,11.0,,,,,,,13.0,13.0,13,Multifamily Finance Program,2024-09-24T00:00:00.000,No,Article XI,3000000.0,3015560003.0,False,2020-05-07,pre__filing_date,321590765,2021-08-19,,3015560003,P2017K0240,Rochester Suydam ULURP (UDAAP),"This is an application by HPD requesting a UDAAP designation, project approval and disposition of city-owned land to facilitate seven new developments with 78 total residential units to be developed under HPD’s Open Door program at 421-23 Herkimer St, 440-444 Herkimer St, 35-37 Rochester Ave, 18-22 Suydam Pl, 815 Herkimer St, 329-331 Ralph Ave, and 335 Ralph Ave in Bedford-Stuyvesant, CD 3, Brooklyn.",Complete,Completed,ULURP,,190453HAK,17HPD051K,HPD,Other Public Agency,Brooklyn,K03,false,false,HA - Project Completed,2020-04-27T00:00:00.000,,2019-10-15T00:00:00.000,,,,,,General Public,2020-04-27T00:00:00.000,Unlisted,HPD,,,,,,,
